QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00145,8e-05,0.00686,-0.02488,-4e-05,0.4449,213.0,0.05, 0 x 812,0.0,0.05,3985.0,226.6,245.9, 1 x 1,213.65,-0.93495,0.00056,0.20289,-2.19952,-0.03618,0.82079,55.0,234.1,0.062
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00108,4e-05,0.0064,-0.02555,0.00021,0.45317,55.0,0.05, 0 x 762,0.0,0.05,3990.0,227.9,251.9, 20 x 20,207.96,-0.94392,0.00021,0.17672,-0.85002,-0.02666,0.76427,12.0,239.1,0.064
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00146,6e-05,0.00673,-0.02491,-0.00028,0.46141,118.0,0.05, 0 x 641,0.0,0.05,3995.0,234.2,258.1, 20 x 1,224.2,-0.93625,0.00048,0.19951,-2.09988,-0.0352,0.84587,47.0,244.1,0.065
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00087,7e-05,0.0069,-0.02517,-6e-05,0.46966,557.0,0.05, 0 x 1886,0.0,0.05,4000.0,243.5,263.6, 10 x 10,231.62,-0.91893,0.00074,0.24468,-4.5002,-0.04308,0.9694,58.0,249.1,0.066
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00126,9e-05,0.00608,-0.02531,0.00025,0.47889,158.0,0.1, 0 x 1096,0.0,0.05,4005.0,247.1,266.5, 20 x 1,236.57,-0.93209,0.00048,0.21084,-2.75027,-0.03712,0.90742,2.0,254.1,0.068
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00086,7e-05,0.00639,-0.02547,-0.00032,0.48636,104.0,0.05, 0 x 879,0.0,0.05,4010.0,252.1,274.6, 20 x 1,245.85,-0.92098,0.0006,0.23898,-4.29971,-0.04258,0.99171,4.0,259.1,0.069
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00133,6e-05,0.0062,-0.02469,0.00031,0.49493,73.0,0.05, 0 x 995,0.0,0.05,4015.0,257.1,279.6, 20 x 1,240.84,-0.9217,0.00059,0.23791,-4.2997,-0.04219,1.00682,3.0,264.1,0.07
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00083,4e-05,0.00638,-0.02526,-2e-05,0.50274,108.0,0.05, 0 x 1301,0.0,0.05,4020.0,259.0,282.8, 20 x 1,221.15,-0.93792,0.00035,0.1934,-1.84991,-0.03274,0.90706,20.0,269.1,0.072
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00096,1e-05,0.00617,-0.02505,-0.00024,0.511,40.0,0.1, 0 x 1747,0.0,0.05,4025.0,267.1,286.5, 20 x 1,245.05,-0.93296,0.00045,0.20818,-2.75034,-0.03673,0.96682,48.0,274.1,0.073
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.0006,4e-05,0.00562,-0.02495,-5e-05,0.51954,93.0,0.05, 0 x 1882,0.0,0.05,4030.0,272.1,291.5, 20 x 1,231.15,-0.93308,0.0004,0.20797,-2.74999,-0.03607,0.98209,32.0,279.1,0.074
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00148,8e-05,0.00628,-0.02541,0.00032,0.52749,38.0,0.05, 0 x 937,0.0,0.05,4035.0,277.1,296.5, 20 x 1,268.74,-0.93308,0.00046,0.20735,-2.74996,-0.03589,0.99654,25.0,284.1,0.076
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00092,9e-05,0.00613,-0.02498,0.00051,0.53563,67.0,0.05, 0 x 1969,0.0,0.05,4040.0,282.1,301.5, 20 x 1,273.77,-0.93268,0.00036,0.20706,-2.74981,-0.03655,1.01183,13.0,289.1,0.077
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00078,4e-05,0.00538,-0.0248,-8e-05,0.54393,69.0,0.05, 0 x 1452,0.0,0.05,4045.0,287.1,306.5, 20 x 1,282.1,-0.93299,0.00044,0.20697,-2.74986,-0.0354,1.02659,2.0,294.1,0.078
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00134,8e-05,0.00603,-0.02517,4e-05,0.5524,121.0,0.05, 0 x 2468,0.0,0.05,4050.0,292.1,314.6, 20 x 1,264.79,-0.92427,0.00047,0.23117,-4.3003,-0.04113,1.11241,8.0,299.1,0.08
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00089,4e-05,0.00536,-0.02538,0.00024,0.56043,73.0,0.05, 0 x 1774,0.0,0.05,4055.0,297.1,319.6, 20 x 1,137.0,-0.92436,0.00054,0.23027,-4.30051,-0.04075,1.12736,8.0,304.1,0.081
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00086,6e-05,0.00503,-0.0246,-0.00027,0.56899,42.0,0.05, 0 x 1048,0.0,0.05,4060.0,302.1,324.6, 20 x 1,159.5,-0.92491,0.00048,0.22957,-4.2998,-0.04015,1.14253,38.0,309.1,0.082
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00129,-1e-05,0.00487,-0.02497,-0.00015,0.5763,40.0,0.05, 0 x 1392,0.0,0.05,4065.0,307.1,329.6, 20 x 1,282.96,-0.92492,0.00049,0.22857,-4.29958,-0.03997,1.15689,6.0,314.1,0.084
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.0013,4e-05,0.00489,-0.02518,0.00011,0.58515,34.0,0.05, 0 x 999,0.0,0.05,4070.0,312.1,334.6, 20 x 1,306.36,-0.92535,0.00048,0.22806,-4.30006,-0.04001,1.17223,4.0,319.1,0.085
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00082,1e-05,0.00508,-0.02477,0.00018,0.59321,41.0,0.05, 0 x 2637,0.0,0.05,4075.0,317.1,339.6, 20 x 1,287.3,-0.92523,0.00044,0.22774,-4.30048,-0.04028,1.18691,4.0,324.1,0.086
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00091,5e-05,0.00491,-0.02492,0.00014,0.60039,29.0,0.05, 0 x 1510,0.0,0.05,4080.0,322.1,344.6, 20 x 1,278.02,-0.92534,0.00046,0.22692,-4.30006,-0.03961,1.20165,2.0,329.1,0.088
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00064,3e-05,0.00554,-0.02474,-0.0001,0.60886,16.0,0.05, 0 x 1494,0.0,0.05,4085.0,327.1,349.6, 20 x 1,303.94,-0.92528,0.00046,0.22653,-4.29994,-0.0394,1.21687,1.0,334.1,0.089
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00066,0.0,0.00486,-0.02532,9e-05,0.61675,5.0,0.15, 0 x 1065,0.0,0.05,4090.0,332.1,354.6, 20 x 1,311.85,-0.92522,0.00044,0.22621,-4.30001,-0.03915,1.23227,1.0,339.1,0.09
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00113,1e-05,0.00522,-0.02476,0.00056,0.62446,9.0,0.05, 0 x 881,0.0,0.05,4095.0,337.1,359.6, 20 x 1,335.45,-0.92555,0.00045,0.2253,-4.29992,-0.03925,1.24648,1.0,344.1,0.092
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00136,4e-05,0.00521,-0.02533,0.00054,0.63313,144.0,0.05, 0 x 2532,0.0,0.05,4100.0,342.1,364.6, 20 x 1,312.3,-0.92609,0.00043,0.22482,-4.29982,-0.0386,1.26145,14.0,349.1,0.093
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00075,5e-05,0.00468,-0.02473,-0.00044,0.64041,269.0,0.1, 0 x 1883,0.0,0.05,4105.0,347.1,365.9, 20 x 1,362.59,-0.93465,0.00023,0.20027,-2.45005,-0.03326,1.18893,1.0,354.1,0.094
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00095,6e-05,0.00479,-0.02448,0.00036,0.64787,130.0,0.1, 0 x 1599,0.0,0.05,4110.0,352.1,374.6, 20 x 1,322.3,-0.92583,0.00041,0.22404,-4.30021,-0.03844,1.29147,1.0,359.1,0.096
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00129,6e-05,0.00496,-0.02489,0.00012,0.65657,9.0,0.05, 0 x 1257,0.0,0.05,4115.0,357.1,379.6, 20 x 1,327.9,-0.92584,0.00039,0.22294,-4.30048,-0.03874,1.30583,3.0,364.1,0.097
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.0008,3e-05,0.00459,-0.02489,-0.00041,0.66425,1.0,0.05, 0 x 1325,0.0,0.05,4120.0,362.1,384.6, 20 x 1,211.43,-0.92639,0.0004,0.22255,-4.30026,-0.03884,1.32133,23.0,369.1,0.098
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00119,-1e-05,0.00472,-0.02462,-2e-05,0.67292,105.0,0.05, 0 x 1196,0.0,0.05,4125.0,367.1,389.6, 20 x 1,342.91,-0.92584,0.00034,0.223,-4.29964,-0.0379,1.33632,6.0,374.1,0.1
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00046,4e-05,0.00485,-0.02518,0.00039,0.67989,37.0,0.1, 0 x 716,0.0,0.05,4130.0,372.1,390.9, 20 x 1,353.14,-0.93438,0.00027,0.19959,-2.44999,-0.03213,1.26256,6.0,379.1,0.101
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00061,2e-05,0.00418,-0.02469,-0.00013,0.68856,53.0,0.07, 0 x 592,0.0,0.05,4135.0,377.1,399.6, 20 x 1,347.5,-0.92693,0.00038,0.22236,-4.29913,-0.03772,1.36594,11.0,384.1,0.102
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00081,6e-05,0.00497,-0.02518,4e-05,0.69633,3.0,0.05, 0 x 1018,0.0,0.05,4140.0,382.1,404.6, 20 x 1,229.67,-0.92683,0.00038,0.22184,-4.30023,-0.03811,1.38069,3.0,389.1,0.104
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00046,6e-05,0.00432,-0.02459,-7e-05,0.70379,153.0,0.1, 0 x 561,0.0,0.05,4145.0,387.1,409.6, 20 x 1,360.13,-0.92684,0.00029,0.22114,-4.29979,-0.03751,1.39543,4.0,394.1,0.105
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00088,5e-05,0.00474,-0.02537,0.00034,0.71106,12.0,0.05, 0 x 3077,0.0,0.05,4150.0,392.1,410.9, 20 x 1,208.5,-0.9343,0.00023,0.20072,-2.4507,-0.03153,1.32148,37.0,399.1,0.106
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00119,-2e-05,0.00417,-0.02459,0.00044,0.71966,28.0,0.05, 0 x 576,0.0,0.05,4155.0,397.1,419.6, 20 x 1,249.37,-0.9269,0.00028,0.2209,-4.29963,-0.03734,1.42461,2.0,404.1,0.108
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00112,-1e-05,0.00494,-0.02575,-0.00031,0.72838,206.0,0.05, 0 x 3169,0.0,0.05,4160.0,402.1,424.6, 20 x 1,249.42,-0.92693,0.00029,0.22021,-4.29981,-0.0373,1.43967,6.0,409.1,0.109
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00076,4e-05,0.00441,-0.02575,0.00037,0.73606,74.0,0.1, 0 x 535,0.0,0.05,4165.0,407.1,429.6, 20 x 1,67.5,-0.92687,0.0003,0.22078,-4.29958,-0.03679,1.45376,15.0,414.1,0.11
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00093,-2e-05,0.00455,-0.02532,-0.0002,0.74288,2.0,0.05, 0 x 688,0.0,0.05,4170.0,412.1,430.9, 20 x 1,389.57,-0.93327,0.00017,0.20073,-2.44993,-0.03184,1.38118,1.0,419.1,0.112
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00098,-3e-05,0.00441,-0.02532,0.00033,0.7508,48.0,0.05, 0 x 929,0.0,0.05,4175.0,417.1,439.6, 20 x 1,396.39,-0.92646,0.00027,0.22027,-4.30018,-0.03712,1.48364,6.0,424.1,0.113
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00117,4e-05,0.0043,-0.02557,0.00018,0.75851,47.0,0.05, 0 x 479,0.0,0.05,4180.0,422.1,444.6, 20 x 1,269.34,-0.92676,0.00027,0.21956,-4.29985,-0.03723,1.49801,5.0,429.1,0.114
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00057,-1e-05,0.0046,-0.02467,-0.00036,0.76603,43.0,0.05, 0 x 315,0.0,0.05,4185.0,427.1,449.6, 20 x 1,86.2,-0.9265,0.00031,0.21973,-4.29957,-0.03654,1.51303,6.0,434.1,0.116
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00119,3e-05,0.00413,-0.02521,0.00045,0.77311,2.0,0.05, 0 x 745,0.0,0.05,4190.0,432.1,454.6, 20 x 1,274.66,-0.92649,0.00024,0.2196,-4.3005,-0.0365,1.52799,21.0,439.1,0.117
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00033,1e-05,0.00438,-0.02479,-0.00019,0.78074,4.0,0.05, 0 x 592,0.0,0.05,4195.0,437.1,459.6, 20 x 1,158.53,-0.92709,0.00025,0.21895,-4.29969,-0.03694,1.54248,1.0,444.1,0.118
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00045,-2e-05,0.00405,-0.02509,-0.00031,0.78871,353.0,0.05, 0 x 5898,0.0,0.05,4200.0,442.1,464.6, 20 x 1,421.41,-0.9264,0.00022,0.21874,-4.3003,-0.03644,1.55745,31.0,449.1,0.12
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00067,-1e-05,0.00431,-0.02551,-1e-05,0.8033,4.0,0.05, 0 x 514,0.0,0.05,4210.0,452.1,474.6, 20 x 1,424.44,-0.92665,0.00027,0.21887,-4.30038,-0.03649,1.58678,6.0,459.1,0.122
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.0008,1e-05,0.00446,-0.02462,0.00014,0.81123,81.0,0.05, 0 x 310,0.0,0.05,4215.0,457.1,479.6, 20 x 1,110.89,-0.92662,0.00023,0.21859,-4.30037,-0.03582,1.6011,1.0,464.1,0.124
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00041,5e-05,0.00411,-0.02458,-0.00039,0.81918,48.0,0.05, 0 x 297,0.0,0.05,4220.0,462.1,484.6, 20 x 1,435.18,-0.92638,0.00021,0.21864,-4.30007,-0.0356,1.61621,1.0,469.1,0.125
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00034,-1e-05,0.00435,-0.02521,0.0,0.8263,1.0,0.05, 0 x 689,0.0,0.05,4225.0,467.1,489.6, 20 x 1,187.41,-0.92676,0.00027,0.2185,-4.30036,-0.03593,1.63094,3.0,474.1,0.126
1655150400, 2022-06-13 16:00, 2022-06-13,16.0,3750.95, 2022-06-13,1655150400,0.0,0.00101,2e-05,0.00421,-0.02516,8e-05,0.83403,7.0,0.1, 0 x 1073,0.0,0.05,4230.0,472.1,490.9, 20 x 1,430.14,-0.93231,0.0001,0.20261,-2.44987,-0.03039,1.55778,1.0,479.1,0.128
